3 3 0 F...BDF...BDEAA.BDE...GGE.....CC.... C96 B99 G98
3 3 0 F.....F.....EAA.B.E.GGBDE...BD.CC..D C97 B99 D97
3 3 0 F.....F.....EAA.BDE.GGBDE...BD.CC... C97 B99 D98
3 3 0 F...BDF...BDEAA.BDE...GGE......CC... C97 B99 G98
3 3 0 F....DF....DE..AADE.GGB.E...B..CC.B. C97 B98 A98
3 3 0 F....DF...BD..AABDEGG.B.E.....E...CC E99 G99 A99
3 3 0 F....DF....DE.AA.DE.GGB.E...B..CC.B. C97 B98 A99
3 3 0 F...BDF...BDEAA.BDE...GGE.......CC.. C98 B99 G98
3 3 0 F.....F.....EAA...E.GGBDE...BD.CC.BD C97 B98 D97
3 3 0 F.....F.....EAA..DE.GGBDE...BD.CC.B. C97 B98 D98
3 3 0 F...BDF...BDEAA.BDE...GGE........CC. C99 B99 G98
3 3 0 F...B.F...B.EAA.BDE.GG.DE....D...CC. C99 B99 D98
3 3 0 F....DF...BDAA..BDEGG.B.E.....E...CC E99 G99 A99
3 3 0 F....DF...BDAA..BDE.GGB.E.....ECC... C97 E99 A99
3 3 0 .....DF...BDFAA.BDE.GGB.E.....ECC... C97 E99 F99
3 3 0 F....DF...BDE.AABDEGG.B.E......CC... C97 G99 A99
3 3 0 F.....F...BD..AABDE.GGBDE.....E...CC E99 D99 A99
3 3 0 F....DF....DEAA..DEGG.B.E...B..CC.B. C97 B98 G99
3 3 0 F.....F...B.EAA.B.EGG.BDE....D.CC..D C97 G99 D97
3 3 0 F.....F...BDAA..BDE.GGBDE.....E...CC E99 D99 A99
3 3 0 F.....F...B.EAA.BDEGG.BDE....D.CC... C97 G99 D98
3 3 0 F....DF....DAA..BDE.GGB.E...B.E...CC E99 B99 A99
3 3 0 F....DF...BDE.AABDEGG.B.E.......CC.. C98 G99 A99
3 3 0 F.....F...BD.AA.BDEGG.BDE.....E...CC E99 G99 D99
3 3 0 F.....F...B.E.AABDE.GGBDE....D..CC.. C98 D98 A99
3 3 0 F.....F...BDE.AABDE.GGBDE.......CC.. C98 D99 A99
3 3 0 F.....F....D.AA.BDE.GGBDE...B.E...CC E99 B99 D99
3 3 0 F...B.F...B.EAA.BDE.GG.DE....D..CC.. C98 B99 D98
3 3 0 F....DF...BDAA..BDE.GGB.E.....E.CC.. C98 E99 A99
3 3 0 F.....F...B...AABDE.GGBDE....DE...CC E99 D98 A99
3 3 0 F....DF....DE.AABDE.GGB.E...B.CC.... C96 B99 A99
3 3 0 F.....F...BD.AA.BDE.GGBDE.....ECC... C97 E99 D99
3 3 0 F....DF....DE.AABDE.GGB.E...B..CC... C97 B99 A99
3 3 0 F....DF....DE.AABDE.GGB.E...B....CC. C99 B99 A99
3 3 0 F.....F...BD.AA.BDE.GGBDE.....E.CC.. C98 E99 D99
3 3 0 F.....F.....E.AABDE.GGBDE...BD....CC B99 D98 A99
3 3 0 F.....F...B.AA..BDE.GGBDE....DE...CC E99 D98 A99
3 3 0 F.....F....DE.AABDE.GGBDE...B.....CC B99 D99 A99
3 3 0 F.....F...BD.AA.BDE.GGBDE.....E..CC. C99 E99 D99
3 3 0 F.....F...B.E.AAB.E.GGBDE....D..CC.D C98 D97 A99
3 3 0 F.....F...B.EAA.B.EGG.BDE....D..CC.D C98 G99 D97
4 4 0 F...B.F...BD..AABDE.GG.DE.....E...CC E99 B99 D99 A99
4 4 0 ....BDF...BDFAA.BDE...GGE.....E...CC E99 B99 G98 F99
4 4 0 F....DF....DE..AADEGG.B.E...B.CC..B. C96 B98 G99 A98
4 4 0 F....DF...BDAA..BDEGG.B.E.....E..CC. C99 E99 G99 A99
4 4 0 F....DF....D...AADE.GGB.E...B.E.CCB. C98 E99 B98 A98
4 4 0 F.....F......AA.B.E.GGBDE...BDE.CC.D C98 E99 B99 D97
4 4 0 F...B.F...B..AA.BDE..GGDE....DE...CC E99 B99 G99 D98
4 4 0 F...B.F...B.EAA.BDEGG..DE....D..CC.. C98 B99 G99 D98
4 4 0 F.....F.....EAA..DEGG.BDE...BD..CCB. C98 B98 G99 D98
4 4 0 F....DF....D..AA.DE.GGB.E...B.E.CCB. C98 E99 B98 A99
4 4 0 ....B.F...BDFAA.BDE.GG.DE.....E...CC E99 B99 D99 F99
4 4 0 F....DF....DAA...DE.GGB.E...B.E.CCB. C98 E99 B98 A99
4 4 0 F....DF....D.AA..DEGG.B.E...B.E.CCB. C98 E99 B98 G99
4 4 0 F.....F...BDE.AABDEGG.BDE.....CC.... C96 G99 D99 A99
4 4 0 F....DF...BD..AABDEGG.B.E.....E..CC. C99 E99 G99 A99
4 4 0 F.....F......AA...E.GGBDE...BDE.CCBD C98 E99 B98 D97
4 4 0 F.....F......AA..DE.GGBDE...BDE.CCB. C98 E99 B98 D98
4 4 0 F...B.F...B..AA.B.E.GG.DE....DE.CC.D C98 E99 B99 D97
4 4 0 F.....F....D.AA..DE.GGBDE...B.E.CCB. C98 E99 B98 D99
4 4 0 F.....F....DE..AADE.GGBDE...B..CC.B. C97 B98 D99 A98
4 4 0 F.....F...B...AABDE.GGBDE....DECC... C97 E99 D98 A99
4 4 0 F...B.F...BDEAA.BDE..GGDE.....CC.... C96 B99 G99 D99
4 4 0 ......F...BDF.AABDE.GGBDE.....E...CC E99 D99 A99 F99
4 4 0 F.....F....DE.AA.DE.GGBDE...B..CC.B. C97 B98 D99 A99
4 4 0 F.....F....DEAA..DEGG.BDE...B..CC.B. C97 B98 G99 D99
4 4 0 F...B.F...B..AA.B.E.GG.DE....DECC..D C97 E99 B99 D97
4 4 0 F.....F....DEAA.BDEGG.BDE...B..CC... C97 B99 G99 D99
4 4 0 F...B.F...B..AA.BDE.GG.DE....DE..CC. C99 E99 B99 D98
4 4 0 F...B.F...B..AA.BDE.GG.DE....DECC... C97 E99 B99 D98
4 4 0 F...B.F...BDEAA.BDEGG..DE.....CC.... C96 B99 G99 D99
4 4 0 F...BDF...BDE.AABDE..GG.E.....CC.... C96 B99 G99 A99
4 4 0 F...BDF...BDE.AABDE..GG.E......CC... C97 B99 G99 A99
4 4 0 .....DF...BDF.AABDE.GGB.E.....E..CC. C99 E99 A99 F99
4 4 0 F...BDF...BDE.AABDE..GG.E.......CC.. C98 B99 G99 A99
4 4 0 F...BDF...BDE.AABDE..GG.E........CC. C99 B99 G99 A99
4 4 0 .....DF...BDFAA.BDEGG.B.E.....E..CC. C99 E99 G99 F99
4 4 0 .....DF....DFAA.BDE.GGB.E...B.E..CC. C99 E99 B99 F99
