2 2 0 .EEE....CCC.AA...H..BB.H...FFHDD.GGG C99 E99 I1
2 2 0 ..EEE..CCC.H...AAH..BB.H...FF.DD.GGG H99 A97 I1
2 2 0 ..EEE..CCC..AA...H...BBHFF...HDD.GGG F97 B99 I1
2 2 0 EEE....CCC....AA.H..BB.H...FFHDD.GGG A98 E98 I1
2 2 0 EEE....CCC...AA..H..BB.H...FFHDD.GGG A99 E98 I1
2 2 0 ..EEE..CCC..AA...H...BBH.FF..HDD.GGG F98 B99 I1
2 2 0 EEE.....CCC.AA...H..BB.H...FFHDD.GGG C99 E98 I1
2 2 0 EEE...CCC...AA...H..BB.H...FFHDD.GGG C99 E98 I1
2 2 0 ..EEE..CCC.H..AA.H..BB.H...FF.DD.GGG H99 A98 I1
2 2 0 ...EEE.CCC..AA...H...BBH...FFHDD.GGG B99 E99 I1
2 2 0 EEE....CCC..AA...H..BB.HFF...HDD.GGG F97 E98 I1
2 2 0 .EEE...CCC.....AAH..BB.H...FFHDD.GGG A97 E99 I1
2 2 0 EEE....CCC..AA...H..BB.H.FF..HDD.GGG F98 E98 I1
2 2 0 EEE....CCC..AA...H...BBH...FFHDD.GGG B99 E98 I1
2 2 0 ..EEEH.CCC.H..AA.H..BB.....FF.DD.GGG H98 A98 I1
2 2 0 ..EEEH.CCC.H.AA..H..BB.....FF.DD.GGG H98 A99 I1
2 2 0 ..EEE..CCC.H.AA..H..BB.H...FF.DD.GGG H99 A99 I1
2 2 0 .EEE...CCC..AA...H...BBH...FFHDD.GGG B99 E99 I1
2 2 0 ..EEEH.CCC.HAA...H....BB...FF.DD.GGG H98 B98 I1
2 2 0 ..EEEH..CCCHAA...H..BB.....FF.DD.GGG H98 C99 I1
2 2 0 ..EEEH.CCC.HAA...H...BB....FF.DD.GGG H98 B99 I1
2 2 0 ..EEEHCCC..HAA...H..BB.....FF.DD.GGG H98 C99 I1
2 2 0 ..EEEH.CCC.HAA...H..BB......FFDD.GGG H98 F99 I1
3 3 0 ..EEE..CCC.HAA...H...BBH...FF..DDGGG D99 H99 B99 I1
3 3 0 ..EEE..CCC.....AAH..BB.H..FF.H.DDGGG D99 F99 A97 I1
3 3 0 ..EEE..CCC...AA..H..BB.H.FF..H.DDGGG D99 F98 A99 I1
3 3 0 ..EEEH.CCC.HAA...HBB.....FF...DD.GGG H98 F98 B98 I1
3 3 0 ..EEE....CCC..AA.H..BB.H...FFH.DDGGG D99 A98 C98 I1
3 3 0 ..EEE...CCC.AA...H.BB..H...FFH.DDGGG D99 B99 C99 I1
3 3 0 ...EEE.CCC.HAA...H..BB.H....FFDD.GGG H99 F99 E99 I1
3 3 0 ..EEE....CCCAA...H...BBH...FFHDDGGG. G99 B99 C98 I1
3 3 0 ..EEEHCCC..HAA...H..BB......FFDD.GGG H98 F99 C99 I1
3 3 0 ..EEEHCCC..HAA...H....BB...FF.DD.GGG H98 B98 C99 I1
3 3 0 EEE....CCC.HAA...H..BB.H....FFDD.GGG H99 F99 E98 I1
3 3 0 ..EEEH.CCC.HAA...H.BB....FF...DD.GGG H98 F98 B99 I1
3 3 0 .EEE...CCC.HAA...H..BB.H....FFDD.GGG H99 F99 E99 I1
3 3 0 ..EEE..CCC.HAA...H..BB.H....FFDDGGG. G99 H99 F99 I1
3 3 0 ..EEE..CCC.H...AAH..BB.H...FF..DDGGG D99 H99 A97 I1
3 3 0 ..EEEH..CCCHAA...H..BB...FF...DD.GGG H98 F98 C99 I1
3 3 0 ..EEEH.CCC.H...AAH.BB......FF.DD.GGG H98 B99 A97 I1
3 3 0 ..EEEH.CCC.HAA...H.BB.......FFDD.GGG H98 F99 B99 I1
3 3 0 ..EEEHCCC..HAA...H..BB...FF...DD.GGG H98 F98 C99 I1
3 3 0 ..EEEH.CCC.HAA...H.BB......FF.DDGGG. G99 H98 B99 I1
3 3 0 .EEE...CCC.....AAH.BB..H...FFHDD.GGG B99 A97 E99 I1
3 3 0 ..EEE..CCC....AA.H..BB.H..FF.H.DDGGG D99 F99 A98 I1
3 3 0 ..EEEH.CCC.HAA...H..BB..FF.....DDGGG D99 H98 F97 I1
3 3 0 EEE..H.CCC.HAA...H..BB...FF...DD.GGG H98 F98 E98 I1
3 3 0 .EEE...CCC..AA...H.BB..H...FFHDDGGG. G99 B99 E99 I1
3 3 0 ...EEE.CCC.HAA...H..BB.H..FF..DD.GGG H99 F99 E99 I1
3 3 0 .EEE.H.CCC.HAA...H..BB...FF...DD.GGG H98 F98 E99 I1
3 3 0 EEE....CCC.....AAH.BB..H...FFHDD.GGG B99 A97 E98 I1
3 3 0 EEE....CCC..AA...H.BB..H...FFHDDGGG. G99 B99 E98 I1
3 3 0 ...EEE.CCC.....AAH..BB.H...FFH.DDGGG D99 A97 E99 I1
3 3 0 ..EEEH.CCC.HAA...H..BB...FF...DDGGG. G99 H98 F98 I1
3 3 0 ..EEE..CCC.....AAH.BB..H.FF..HDD.GGG F98 B99 A97 I1
3 3 0 ...EEE.CCC..AA...H.BB..H.FF..HDD.GGG F98 B99 E99 I1
3 3 0 ..EEE..CCC....AA.H...BBHFF...HDD.GGG F97 B99 A98 I1
3 3 0 EEE....CCC..AA...H.BB..H.FF..HDD.GGG F98 B99 E98 I1
3 3 0 .EEE...CCC..AA...H.BB..H.FF..HDD.GGG F98 B99 E99 I1
3 3 0 ..EEE..CCC....AA.HBB...HFF...HDD.GGG F97 B98 A98 I1
3 3 0 ..EEE..CCC....AA.H..BB.HFF...H.DDGGG D99 F97 A98 I1
3 3 0 ..EEE..CCC....AA.H...BBH..FF.HDD.GGG F99 B99 A98 I1
3 3 0 ..EEE..CCC...AA..H...BBH..FF.HDD.GGG F99 B99 A99 I1
3 3 0 ..EEE..CCC..AA...H.BB..H.FF..HDDGGG. G99 F98 B99 I1
3 3 0 ..EEE....CCC...AAHBB...H...FFHDD.GGG B98 A97 C98 I1
3 3 0 ..EEE..CCC....AA.H.BB..HFF...HDD.GGG F97 B99 A98 I1
3 3 0 ..EEE...CCC....AAHBB...H...FFHDD.GGG B98 A97 C99 I1
3 3 0 ..EEE.CCC......AAHBB...H...FFHDD.GGG B98 A97 C99 I1
3 3 0 ..EEE....CCC..AA.H..BB.HFF...HDD.GGG F97 A98 C98 I1
3 3 0 ..EEEH.CCC.HAA...H..BB...FF....DDGGG D99 H98 F98 I1
3 3 0 ..EEE..CCC.....AAHBB...HFF...HDD.GGG F97 B98 A97 I1
3 3 0 ..EEE..CCC.....AAHBB...H.FF..HDD.GGG F98 B98 A97 I1
3 3 0 ..EEE...CCC...AA.H..BB.HFF...HDD.GGG F97 A98 C99 I1
3 3 0 EEE....CCC.....AAHBB...H...FFHDD.GGG B98 A97 E98 I1
3 3 0 .EEE...CCC.....AAHBB...H...FFHDD.GGG B98 A97 E99 I1
3 3 0 ..EEE.CCC.....AA.H..BB.HFF...HDD.GGG F97 A98 C99 I1
3 3 0 EEE..H.CCC.HAA...H..BB.....FF..DDGGG D99 H98 E98 I1
3 3 0 ..EEE..CCC.H...AAHBB...H...FF.DD.GGG H99 B98 A97 I1
3 3 0 ..EEEH.CCC.H...AAHBB.......FF.DD.GGG H98 B98 A97 I1
3 3 0 ..EEE..CCC....AA.H...BBH...FFH.DDGGG D99 B99 A98 I1
3 3 0 ...EEE.CCC....AA.H..BB.HFF...HDD.GGG F97 A98 E99 I1
3 3 0 ..EEE..CCC...AA..H...BBH...FFH.DDGGG D99 B99 A99 I1
3 3 0 ..EEE....CCCAA...H...BBH...FFH.DDGGG D99 B99 C98 I1
3 3 0 EEE....CCC....AA.H..BB.HFF...HDD.GGG F97 A98 E98 I1
3 3 0 .EEE.H.CCC.HAA...H..BB.....FF..DDGGG D99 H98 E99 I1
3 3 0 ..EEE...CCC.AA...H...BBH...FFH.DDGGG D99 B99 C99 I1
3 3 0 ..EEE.CCC...AA...H...BBH...FFH.DDGGG D99 B99 C99 I1
3 3 0 .EEE...CCC....AA.H..BB.HFF...HDD.GGG F97 A98 E99 I1
